"Type";"PolicyName";"PolicyId";"PolicyVersion";"PolicyScope";"PolicyScopeId";"ALZPolicyName";"ALZVersion";"ALZState";"InTenant";"DetectedBy";"AzAdvertizerUrl"
"Policy";"Deny-LogicApps-Without-Https";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-logicapps-without-https";"1.0.0";"Mg";"alz";"Deny-LogicApps-Without-Https";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-LogicApps-Without-Https.html"
"Policy";"Deny-MachineLearning-Aks";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-machinelearning-aks";"1.0.0";"Mg";"alz";"Deny-MachineLearning-Aks";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MachineLearning-Aks.html"
"Policy";"Deny-MachineLearning-Compute-SubnetId";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-machinelearning-compute-subnetid";"1.0.0";"Mg";"alz";"Deny-MachineLearning-Compute-SubnetId";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MachineLearning-Compute-SubnetId.html"
"Policy";"Deny-MachineLearning-Compute-VmSize";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-machinelearning-compute-vmsize";"1.0.0";"Mg";"alz";"Deny-MachineLearning-Compute-VmSize";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MachineLearning-Compute-VmSize.html"
"Policy";"Deny-MachineLearning-ComputeCluster-RemoteLoginPortPublicAccess";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-machinelearning-computecluster-remoteloginportpublicaccess";"1.1.0";"Mg";"alz";"Deny-MachineLearning-ComputeCluster-RemoteLoginPortPublicAccess";"1.1.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MachineLearning-ComputeCluster-RemoteLoginPortPublicAccess.html"
"Policy";"Deny-MachineLearning-ComputeCluster-Scale";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-machinelearning-computecluster-scale";"1.0.0";"Mg";"alz";"Deny-MachineLearning-ComputeCluster-Scale";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MachineLearning-ComputeCluster-Scale.html"
"Policy";"Deny-MachineLearning-HbiWorkspace";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-machinelearning-hbiworkspace";"1.0.0";"Mg";"alz";"Deny-MachineLearning-HbiWorkspace";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MachineLearning-HbiWorkspace.html"
"Policy";"Deny-MachineLearning-PublicAccessWhenBehindVnet";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-machinelearning-publicaccesswhenbehindvnet";"1.0.1";"Mg";"alz";"Deny-MachineLearning-PublicAccessWhenBehindVnet";"1.0.1";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MachineLearning-PublicAccessWhenBehindVnet.html"
"Policy";"Deny-MachineLearning-PublicNetworkAccess";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-machinelearning-publicnetworkaccess";"1.0.0-deprecated";"Mg";"alz";"Deny-MachineLearning-PublicNetworkAccess";"1.0.0-deprecated";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MachineLearning-PublicNetworkAccess.html"
"Policy";"Deny-MgmtPorts-From-Internet";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-mgmtports-from-internet";"2.2.0";"Mg";"alz";"Deny-MgmtPorts-From-Internet";"2.2.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MgmtPorts-From-Internet.html"
